"Gene","Source"
"SLC25A34-AS1","GWAS_near_sig"
"SPEN","GWAS_near_sig"
"UQCRHL","GWAS_near_sig"
"FBLIM1","GWAS_near_sig"
"SPEN-AS1","GWAS_near_sig"
"ZBTB17","GWAS_near_sig"
"SRARP","GWAS_near_sig"
"CLCNKA","GWAS_near_sig"
"HSPB7","GWAS_near_sig"
"CLCNKB","GWAS_near_sig"
"FAM131C","GWAS_near_sig"
"SPATS2L","GWAS_near_sig"
"LSM3","GWAS_near_sig"
"XPC","GWAS_near_sig"
"FLNC","GWAS_near_sig"
"OPN1SW","GWAS_near_sig"
"CCDC136","GWAS_near_sig"
"CALU","GWAS_near_sig"
"FLNC-AS1","GWAS_near_sig"
"KCP","GWAS_near_sig"
"ATP6V1F","GWAS_near_sig"
"SPMIP1","GWAS_near_sig"
"BAG3","GWAS_near_sig"
"INPP5F","GWAS_near_sig"
"MCMBP","GWAS_near_sig"
"SEC23IP","GWAS_near_sig"
"MIR4682","GWAS_near_sig"
"MIR4487","GWAS_near_sig"
"SLC39A13-AS1","GWAS_near_sig"
"MYBPC3","GWAS_near_sig"
"SPI1","GWAS_near_sig"
"MADD","GWAS_near_sig"
"SLC39A13","GWAS_near_sig"
"LOC105370024","GWAS_near_sig"
"HSPB8","GWAS_near_sig"
"SRRM4","GWAS_near_sig"
"LMF1-AS1","GWAS_near_sig"
"CEROX1","GWAS_near_sig"
"LMF1","GWAS_near_sig"
"SOX8","GWAS_near_sig"
"ZNF652-AS1","GWAS_near_sig"
"ZNF652","GWAS_near_sig"
"PHB1","GWAS_near_sig"
"NEDD4L","GWAS_near_sig"
"LTN1","GWAS_near_sig"
"MAP3K7CL","GWAS_near_sig"
"LINC00189","GWAS_near_sig"
"BACH1","GWAS_near_sig"
"C22orf15","GWAS_near_sig"
"VPREB3","GWAS_near_sig"
"CHCHD10","GWAS_near_sig"
"MMP11","GWAS_near_sig"
"SMARCB1","GWAS_near_sig"
"DERL3","GWAS_near_sig"
"SLC2A11","GWAS_near_sig"
"ADRB1","Known_DCM_gene"
"CACNA1C","Known_DCM_gene"
"TTN","Known_DCM_gene"
"LMNA","Known_DCM_gene"
"MYH7","Known_DCM_gene"
"TNNT2","Known_DCM_gene"
"TNNI3","Known_DCM_gene"
"ACTC1","Known_DCM_gene"
"TPM1","Known_DCM_gene"
"MYL2","Known_DCM_gene"
"MYL3","Known_DCM_gene"
"ACTN2","Known_DCM_gene"
"DES","Known_DCM_gene"
"DMD","Known_DCM_gene"
"FHL2","Known_DCM_gene"
"LAMA4","Known_DCM_gene"
"LDB3","Known_DCM_gene"
"NEXN","Known_DCM_gene"
"PLN","Known_DCM_gene"
"PSEN1","Known_DCM_gene"
"PSEN2","Known_DCM_gene"
"RBM20","Known_DCM_gene"
"SCN5A","Known_DCM_gene"
"SGCD","Known_DCM_gene"
"TAZ","Known_DCM_gene"
"TCAP","Known_DCM_gene"
"VCL","Known_DCM_gene"
"ANKRD1","Known_DCM_gene"
"CSRP3","Known_DCM_gene"
"CRYAB","Known_DCM_gene"
"JPH2","Known_DCM_gene"
"MYOZ2","Known_DCM_gene"
"NEBL","Known_DCM_gene"
