node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
ADH1C,1.0,0.0,1.0,1.0,1.579,1.0,0.14286,10.94286,3.6,0.0,0.0,0.0,
PLA2G2A,1.0,0.0,1.0,1.0,1.575,1.0,0.14286,10.94286,3.6,0.0,0.0,0.0,
RPS6KA2,1.0,0.0,1.0,1.0,5.348,1.0,0.16667,16.13333,5.0,0.0,0.0,0.0,
SLC16A2,2.0,0.30779,2.0,2.0,6.302,1.0,0.16667,16.71667,5.02222,0.0,0.0,1.0,
FKBP5,1.0,0.0,1.0,1.0,2.863,1.0,0.14286,12.76905,4.15556,0.0,0.0,0.0,
AKR1C1,1.0,0.0,1.0,1.0,4.086,1.0,0.16667,13.95,4.57778,0.0,0.0,0.0,
ALOX5AP,4.0,0.0,1.0,4.0,6.093,6.0,0.2,19.53333,5.51111,345.6,928.0,0.0,
FGF1,72.0,0.57059,6.0,6.0,16.334,1.0,0.2,22.06667,5.75556,3.46832,34.0,0.8,
EPHA3,2.0,0.30779,2.0,2.0,9.541,1.0,0.2,18.98333,5.51111,0.0,0.0,1.0,
ABCG2,242.0,0.54881,7.0,7.0,16.529,1.0,0.2,22.9,5.82222,68.88088,370.0,0.71429,
TNNI3,2.0,0.0,1.0,2.0,5.637,2.0,0.2,17.86667,5.35556,51.70972,218.0,0.0,
MME,20.0,0.42794,6.0,6.0,14.625,3.0,0.25,21.5,5.71111,21.86575,88.0,0.6,
CALCRL,1.0,0.0,1.0,1.0,3.721,1.0,0.16667,14.41667,4.68889,0.0,0.0,0.0,
F10,1.0,0.0,1.0,1.0,4.923,1.0,0.2,16.31667,5.15556,0.0,0.0,0.0,
ADAMTS5,1.0,0.0,1.0,1.0,4.875,1.0,0.2,16.56667,5.2,0.0,0.0,0.0,
JAK1,264.0,0.62199,7.0,7.0,16.657,1.0,0.2,21.81667,5.66667,2.21825,18.0,0.80952,
HIF1A,1740.0,0.48572,17.0,17.0,20.563,24.0,0.25,29.33333,6.31111,198.31321,972.0,0.44118,
CASP1,78.0,0.51223,7.0,7.0,16.327,1.0,0.2,21.56667,5.62222,7.87619,34.0,0.66667,
EPHX2,2.0,0.0,1.0,2.0,4.474,1.0,0.2,16.23333,5.06667,6.25,20.0,0.0,
SLC2A1,393.0,0.36587,12.0,13.0,18.273,7.0,0.2,25.9,5.95556,293.52584,1328.0,0.32051,
AGTR1,763.0,0.47886,10.0,11.0,18.396,5.0,0.25,25.75,6.08889,154.7211,658.0,0.43636,
CDKN1A,288.0,0.54893,9.0,9.0,18.612,1.0,0.2,23.31667,5.77778,9.8217,52.0,0.63889,
MGST1,2.0,0.0,1.0,2.0,2.398,2.0,0.16667,14.28333,4.57778,88.0,224.0,0.0,
ALOX15B,2.0,0.0,1.0,2.0,2.45,2.0,0.16667,14.28333,4.57778,88.0,224.0,0.0,
EDNRB,11.0,0.32413,5.0,6.0,13.747,4.0,0.25,22.16667,5.82222,98.25861,374.0,0.33333,
BCL2L1,793.0,0.55613,12.0,13.0,19.075,2.0,0.2,26.06667,5.97778,130.24803,476.0,0.48718,
ALPL,5.0,0.30898,3.0,4.0,9.266,2.0,0.16667,18.05,5.13333,89.49206,436.0,0.33333,
PDE5A,3.0,0.30779,2.0,3.0,7.342,2.0,0.2,18.53333,5.4,88.0,260.0,0.33333,
PDE2A,1.0,0.0,1.0,1.0,2.47,1.0,0.16667,13.18333,4.42222,0.0,0.0,0.0,
NQO1,25.0,0.56839,4.0,5.0,14.483,2.0,0.2,20.4,5.55556,88.0,298.0,0.6,
GLUL,4.0,0.30898,3.0,3.0,9.446,2.0,0.2,19.81667,5.57778,11.07912,64.0,0.66667,
ANPEP,38.0,0.43905,7.0,7.0,16.198,2.0,0.25,22.83333,5.86667,28.05623,120.0,0.57143,
ACE,767.0,0.4242,11.0,14.0,18.679,13.0,0.25,27.91667,6.26667,684.67797,2248.0,0.27473,
KIT,302.0,0.35765,13.0,13.0,19.333,3.0,0.2,25.81667,5.95556,126.69008,470.0,0.35897,
SLC5A1,2.0,0.0,1.0,2.0,8.99,1.0,0.25,19.33333,5.62222,13.44741,112.0,0.0,
SLC1A3,2.0,0.30779,2.0,2.0,6.608,1.0,0.16667,16.55,5.0,0.0,0.0,1.0,
STAT3,1748.0,0.39303,20.0,20.0,20.675,7.0,0.25,31.0,6.4,391.95868,1414.0,0.33684,
KDR,1404.0,0.4707,15.0,15.0,20.418,1.0,0.25,28.33333,6.26667,172.36895,802.0,0.44762,
KCNH2,2.0,0.0,1.0,2.0,2.945,1.0,0.16667,13.76667,4.44444,2.0,2.0,0.0,
CCND2,144.0,0.61814,6.0,6.0,15.341,1.0,0.2,21.48333,5.66667,1.55483,14.0,0.86667,
HTR2B,2.0,0.0,1.0,2.0,5.266,1.0,0.2,17.01667,5.17778,34.29028,190.0,0.0,
CMA1,8.0,0.37893,4.0,4.0,12.642,1.0,0.25,20.16667,5.62222,2.83242,24.0,0.66667,
CD38,11.0,0.32413,5.0,6.0,13.613,2.0,0.2,21.48333,5.66667,96.74968,238.0,0.33333,
SERPINE1,877.0,0.51877,10.0,11.0,18.785,3.0,0.25,26.0,6.13333,144.00845,530.0,0.47273,
NAMPT,8.0,0.37893,4.0,4.0,12.513,1.0,0.2,20.23333,5.57778,5.33333,12.0,0.66667,
MMP2,1249.0,0.59388,11.0,12.0,19.45,2.0,0.25,26.66667,6.17778,146.7029,536.0,0.5303,
